,FileName,Label,valence,arousal,dominance
44,Ses01F_impro03_F012,hap,4.0,3.6667,2.6667
45,Ses01F_impro03_F013,hap,5.0,4.0,3.3333
46,Ses01F_impro03_F015,exc,4.6667,3.6667,3.0
47,Ses01F_impro03_F016,hap,4.0,3.0,2.3333
48,Ses01F_impro03_F017,neu,3.6667,2.6667,2.3333
49,Ses01F_impro03_F018,neu,3.6667,3.0,2.0
50,Ses01F_impro03_F019,neu,3.6667,2.3333,2.0
51,Ses01F_impro03_F021,hap,3.3333,3.6667,2.6667
52,Ses01F_impro03_F022,neu,3.3333,2.6667,2.0
53,Ses01F_impro03_F023,neu,3.0,2.3333,2.0
54,Ses01F_impro03_F024,hap,4.3333,3.0,2.6667
55,Ses01F_impro03_F025,hap,4.3333,3.3333,3.3333
56,Ses01F_impro03_F026,hap,4.6667,4.0,3.0
57,Ses01F_impro03_M000,neu,4.0,3.0,2.6667
58,Ses01F_impro03_M001,neu,4.3333,2.6667,2.3333
59,Ses01F_impro03_M003,exc,5.0,4.6667,3.0
60,Ses01F_impro03_M006,neu,4.0,2.6667,2.3333
61,Ses01F_impro03_M007,hap,4.0,3.0,2.3333
62,Ses01F_impro03_M008,neu,4.0,2.6667,2.0
63,Ses01F_impro03_M009,neu,3.6667,2.3333,2.3333
64,Ses01F_impro03_M011,neu,3.6667,3.6667,2.6667
65,Ses01F_impro03_M013,hap,4.6667,4.0,3.0
66,Ses01F_impro03_M014,hap,4.3333,3.6667,2.6667
67,Ses01F_impro03_M015,hap,4.0,3.0,2.6667
68,Ses01F_impro03_M016,neu,3.6667,2.6667,2.6667
69,Ses01F_impro03_M019,neu,3.0,3.0,2.3333
70,Ses01F_impro03_M020,neu,3.3333,3.0,2.6667
71,Ses01F_impro03_M021,neu,3.0,3.3333,2.6667
72,Ses01F_impro03_M022,exc,4.0,3.3333,2.6667
73,Ses01F_impro03_M023,hap,4.6667,4.3333,3.6667
74,Ses01F_impro03_M024,neu,3.6667,2.6667,2.3333
75,Ses01F_impro04_F000,neu,3.0,3.0,3.0
76,Ses01F_impro04_F001,neu,2.5,2.5,3.0
77,Ses01F_impro04_F005,neu,3.0,2.0,2.5
78,Ses01F_impro04_F006,neu,3.0,3.5,3.5
79,Ses01F_impro04_F009,neu,2.5,2.5,2.5
80,Ses01F_impro04_F013,neu,3.0,3.5,3.5
81,Ses01F_impro04_F014,neu,2.5,3.0,2.5
82,Ses01F_impro04_F028,ang,2.0,3.5,3.5
83,Ses01F_impro04_F029,ang,1.5,4.0,4.0
84,Ses01F_impro04_F030,ang,1.5,3.5,4.0
85,Ses01F_impro04_F031,ang,1.5,3.0,3.5
86,Ses01F_impro04_F032,ang,2.0,3.5,3.5
87,Ses01F_impro04_F033,ang,1.5,3.5,4.5
88,Ses01F_impro04_M000,neu,3.0,2.5,2.5
89,Ses01F_impro04_M001,neu,3.0,2.5,2.0
90,Ses01F_impro04_M002,neu,3.0,2.5,3.0
91,Ses01F_impro04_M003,neu,3.0,2.5,2.5
92,Ses01F_impro04_M004,neu,3.0,3.0,3.0
93,Ses01F_impro04_M005,neu,3.0,3.0,3.0
94,Ses01F_impro04_M006,neu,3.0,3.5,2.5
95,Ses01F_impro04_M007,neu,3.5,3.0,2.5
96,Ses01F_impro04_M008,neu,3.0,3.0,2.5
97,Ses01F_impro04_M009,neu,3.0,3.0,3.0
98,Ses01F_impro04_M010,neu,3.0,2.5,2.0
99,Ses01F_impro04_M011,neu,3.0,3.0,2.5
100,Ses01F_impro04_M012,neu,3.0,3.0,2.5
101,Ses01F_impro04_M013,neu,3.0,2.0,3.0
102,Ses01F_impro04_M014,neu,3.5,3.5,3.5
103,Ses01F_impro04_M015,neu,2.5,3.5,3.0
104,Ses01F_impro04_M016,neu,3.0,2.5,2.5
105,Ses01F_impro04_M017,neu,3.0,3.5,3.0
106,Ses01F_impro04_M018,neu,3.0,3.5,3.0
107,Ses01F_impro04_M019,neu,3.0,2.5,2.5
108,Ses01F_impro04_M020,neu,3.0,2.5,2.5
109,Ses01F_impro04_M021,neu,3.5,3.5,3.0
110,Ses01F_impro04_M022,neu,3.0,2.5,2.5
111,Ses01F_impro04_M023,neu,2.5,2.5,2.0
112,Ses01F_impro04_M024,neu,3.0,2.5,3.0
113,Ses01F_impro04_M025,neu,3.0,3.5,3.5
114,Ses01F_impro04_M026,neu,3.5,3.0,3.0
115,Ses01F_impro04_M027,neu,3.5,3.5,3.5
116,Ses01F_impro04_M028,neu,3.0,2.5,2.0
117,Ses01F_impro04_M031,neu,3.0,2.5,2.5
118,Ses01F_impro04_M032,neu,2.5,2.0,1.5
119,Ses01F_impro05_F008,ang,2.5,2.5,3.5
120,Ses01F_impro05_F009,ang,2.5,2.5,3.5
121,Ses01F_impro05_F011,ang,2.0,4.5,3.5
122,Ses01F_impro05_F012,ang,2.5,3.5,3.0
123,Ses01F_impro05_F014,ang,1.5,4.0,4.0
124,Ses01F_impro05_F015,ang,1.5,4.5,4.5
125,Ses01F_impro05_F016,ang,1.5,4.5,4.0
126,Ses01F_impro05_F017,ang,1.5,5.0,4.5
127,Ses01F_impro05_F018,ang,1.5,4.0,4.0
128,Ses01F_impro05_F019,ang,1.5,4.0,4.5
129,Ses01F_impro05_F020,ang,1.5,4.5,4.5
130,Ses01F_impro05_F021,ang,1.5,4.5,4.5
131,Ses01F_impro05_F022,ang,1.5,4.5,4.0
132,Ses01F_impro05_F023,ang,2.0,3.0,4.0
133,Ses01F_impro05_F024,ang,2.0,3.0,4.0
134,Ses01F_impro05_F025,ang,1.5,4.5,4.5
135,Ses01F_impro05_F026,ang,2.0,3.5,3.5
136,Ses01F_impro05_F028,ang,2.0,3.0,4.0
137,Ses01F_impro05_F029,ang,1.5,3.0,3.5
138,Ses01F_impro05_F030,ang,2.0,3.0,3.5
139,Ses01F_impro05_M000,neu,4.0,2.5,2.0
140,Ses01F_impro05_M001,hap,4.0,2.5,2.0
141,Ses01F_impro05_M002,hap,4.0,2.5,2.0
142,Ses01F_impro05_M003,neu,4.0,2.5,2.0
143,Ses01F_impro05_M004,neu,3.5,1.5,2.0
144,Ses01F_impro05_M005,neu,3.5,2.5,2.0
145,Ses01F_impro05_M006,neu,3.5,2.5,2.0
146,Ses01F_impro05_M007,neu,3.5,2.5,2.0
147,Ses01F_impro05_M008,neu,3.0,2.5,2.0
148,Ses01F_impro05_M009,neu,2.5,2.5,2.0
149,Ses01F_impro05_M010,neu,2.5,2.5,2.0
150,Ses01F_impro05_M011,neu,2.5,2.5,2.0
151,Ses01F_impro05_M012,neu,2.5,2.0,1.5
152,Ses01F_impro05_M013,neu,2.5,2.0,1.5
153,Ses01F_impro05_M014,neu,2.5,2.5,1.5
154,Ses01F_impro05_M015,neu,2.5,2.0,1.5
155,Ses01F_impro05_M016,neu,2.5,2.5,2.0
156,Ses01F_impro05_M017,neu,2.5,2.5,2.5
157,Ses01F_impro05_M019,neu,2.5,2.0,2.0
158,Ses01F_impro05_M020,neu,2.5,2.0,2.0
159,Ses01F_impro05_M022,neu,2.5,2.0,2.0
160,Ses01F_impro05_M023,neu,2.5,3.5,2.5
161,Ses01F_impro05_M024,neu,2.5,3.0,2.5
162,Ses01F_impro05_M025,neu,2.5,2.5,2.0
163,Ses01F_impro05_M026,neu,2.5,2.5,2.5
164,Ses01F_impro05_M027,neu,2.5,2.5,2.0
165,Ses01F_impro05_M028,neu,2.5,2.5,2.0
166,Ses01F_impro05_M029,neu,2.5,2.5,2.5
167,Ses01F_impro05_M030,neu,3.0,2.5,2.0
168,Ses01F_impro05_M031,neu,3.0,2.5,2.5
169,Ses01F_impro05_M034,neu,2.5,2.5,2.5
170,Ses01F_impro05_M035,neu,2.5,2.0,1.5
171,Ses01F_impro06_F002,sad,2.0,1.5,2.5
172,Ses01F_impro06_F003,neu,3.0,2.0,2.5
173,Ses01F_impro06_F004,neu,3.5,2.0,3.0
174,Ses01F_impro06_F005,sad,2.0,2.0,4.0
175,Ses01F_impro06_F006,sad,3.5,3.0,4.0
176,Ses01F_impro06_F007,sad,3.5,3.0,4.0
177,Ses01F_impro06_F008,sad,2.5,3.5,3.5
178,Ses01F_impro06_F009,neu,2.5,3.0,3.5
179,Ses01F_impro06_F010,sad,2.0,2.5,3.5
180,Ses01F_impro06_F011,sad,2.0,3.0,4.0
181,Ses01F_impro06_F012,sad,2.0,3.5,4.5
182,Ses01F_impro06_F013,sad,2.0,2.0,2.0
183,Ses01F_impro06_F014,sad,3.0,3.0,2.5
184,Ses01F_impro06_F015,sad,2.0,2.0,2.5
185,Ses01F_impro06_F016,neu,4.0,3.0,3.5
186,Ses01F_impro06_F018,neu,4.0,3.0,3.5
187,Ses01F_impro06_F019,neu,2.5,2.0,2.5
188,Ses01F_impro06_F020,sad,2.5,3.0,4.0
189,Ses01F_impro06_F021,sad,2.0,3.0,4.0
190,Ses01F_impro06_F022,sad,4.0,3.0,3.5
191,Ses01F_impro06_F023,sad,2.5,2.0,2.5
192,Ses01F_impro06_F024,sad,1.5,2.0,3.0
193,Ses01F_impro06_F025,sad,3.0,3.5,4.5
194,Ses01F_impro06_F026,sad,3.0,3.0,3.5
195,Ses01F_impro06_F027,neu,2.0,2.0,3.5
196,Ses01F_impro06_F028,sad,3.0,3.5,4.0
197,Ses01F_impro06_M000,sad,2.5,2.0,3.0
198,Ses01F_impro06_M001,neu,2.5,3.0,3.5
199,Ses01F_impro06_M002,neu,2.5,2.0,3.0
200,Ses01F_impro06_M003,sad,2.5,2.0,3.5
201,Ses01F_impro06_M004,neu,3.0,3.0,2.5
202,Ses01F_impro06_M005,neu,3.0,2.0,2.5
203,Ses01F_impro06_M006,neu,3.0,2.0,2.5
204,Ses01F_impro06_M007,sad,3.0,2.0,2.5
205,Ses01F_impro06_M008,neu,3.0,2.5,2.5
206,Ses01F_impro06_M009,neu,3.0,2.5,2.5
207,Ses01F_impro06_M010,neu,3.0,2.5,3.0
208,Ses01F_impro06_M011,neu,3.0,2.0,3.0
209,Ses01F_impro06_M012,neu,2.5,2.5,2.5
210,Ses01F_impro06_M013,neu,3.0,2.5,2.5
211,Ses01F_impro06_M014,neu,3.0,2.5,2.0
212,Ses01F_impro06_M015,neu,3.0,3.0,2.5
213,Ses01F_impro06_M016,neu,3.0,2.5,2.5
214,Ses01F_impro07_F000,exc,5.0,5.0,4.5
215,Ses01F_impro07_F002,exc,4.0,4.0,3.0
216,Ses01F_impro07_F003,exc,4.5,4.5,4.5
217,Ses01F_impro07_F004,exc,3.0,3.5,3.0
218,Ses01F_impro07_F005,exc,5.0,4.5,4.5
219,Ses01F_impro07_F009,exc,4.0,3.0,2.5
220,Ses01F_impro07_F010,exc,5.0,4.5,4.0
221,Ses01F_impro07_F012,exc,4.5,4.0,3.5
222,Ses01F_impro07_F013,exc,4.5,4.0,4.0
223,Ses01F_impro07_F016,exc,4.5,3.5,3.0
224,Ses01F_impro07_M000,exc,3.5,3.0,2.0
225,Ses01F_impro07_M001,exc,4.5,4.5,4.0
226,Ses01F_impro07_M002,exc,4.5,4.0,4.0
227,Ses01F_impro07_M003,exc,4.5,3.5,2.5
228,Ses01F_impro07_M004,exc,4.0,4.0,3.0
229,Ses01F_impro07_M005,exc,4.5,4.5,3.5
230,Ses01F_impro07_M006,exc,4.5,4.5,3.5
231,Ses01F_impro07_M007,exc,4.5,4.5,4.5
232,Ses01F_impro07_M008,exc,4.0,3.0,3.0
233,Ses01F_impro07_M009,exc,3.5,4.0,3.5
234,Ses01F_impro07_M012,neu,3.0,2.5,3.0
235,Ses01F_impro07_M013,neu,4.0,2.5,2.5
236,Ses01F_impro07_M014,exc,4.0,4.5,3.0
237,Ses01F_impro07_M015,exc,4.5,4.0,3.5
238,Ses01F_impro07_M017,exc,4.0,3.5,2.5
239,Ses01F_impro07_M018,neu,4.0,3.0,3.0
240,Ses01F_impro07_M019,hap,4.5,4.0,3.0
241,Ses01F_script01_1_F005,neu,2.0,1.6667,2.0
242,Ses01F_script01_1_F015,neu,3.0,2.3333,3.0
243,Ses01F_script01_1_F034,neu,2.3333,2.6667,2.3333
244,Ses01F_script01_1_F035,ang,1.6667,3.6667,4.0
245,Ses01F_script01_1_F037,ang,1.3333,4.3333,4.3333
246,Ses01F_script01_1_F038,ang,2.0,3.6667,3.6667
247,Ses01F_script01_1_F041,ang,1.6667,4.6667,4.3333
248,Ses01F_script01_1_F042,ang,2.0,4.0,3.6667
249,Ses01F_script01_1_M000,neu,3.0,1.6667,2.3333
250,Ses01F_script01_1_M001,neu,3.0,2.0,2.3333
251,Ses01F_script01_1_M002,neu,2.6667,3.0,2.3333
252,Ses01F_script01_1_M003,neu,3.0,2.0,2.0
253,Ses01F_script01_1_M004,neu,3.0,2.0,2.0
254,Ses01F_script01_1_M007,neu,2.6667,3.0,3.0
255,Ses01F_script01_1_M010,neu,3.0,3.3333,3.6667
256,Ses01F_script01_1_M012,neu,3.0,1.3333,2.0
257,Ses01F_script01_1_M014,neu,3.0,1.6667,2.3333
258,Ses01F_script01_1_M015,neu,3.0,1.6667,2.6667
259,Ses01F_script01_1_M016,neu,3.6667,2.6667,2.3333
260,Ses01F_script01_1_M017,neu,3.0,2.6667,2.6667
261,Ses01F_script01_1_M019,ang,2.0,4.3333,4.0
262,Ses01F_script01_1_M023,neu,3.0,2.0,2.3333
263,Ses01F_script01_1_M024,neu,2.6667,1.6667,2.0
264,Ses01F_script01_1_M025,neu,2.6667,2.0,3.0
265,Ses01F_script01_1_M034,neu,3.0,2.6667,3.3333
266,Ses01F_script01_1_M039,neu,3.0,1.6667,2.0
267,Ses01F_script01_1_M040,neu,3.0,1.6667,2.0
268,Ses01F_script01_2_F003,ang,2.0,2.5,4.0
269,Ses01F_script01_2_F004,ang,2.5,2.5,3.5
270,Ses01F_script01_2_F005,ang,1.5,3.5,4.5
271,Ses01F_script01_2_F006,ang,1.5,4.0,4.5
272,Ses01F_script01_2_F007,ang,1.5,4.5,4.5
273,Ses01F_script01_2_F008,ang,1.5,4.5,4.5
274,Ses01F_script01_2_F009,ang,1.5,2.0,4.5
275,Ses01F_script01_2_F010,ang,1.5,3.5,4.5
276,Ses01F_script01_2_F011,ang,1.5,3.5,4.5
277,Ses01F_script01_2_F012,ang,1.5,4.5,5.0
278,Ses01F_script01_2_F013,ang,1.0,4.5,5.0
279,Ses01F_script01_2_M001,neu,3.0,3.0,2.5
280,Ses01F_script01_2_M004,neu,2.5,3.0,2.5
281,Ses01F_script01_2_M008,neu,2.0,3.5,3.0
282,Ses01F_script01_2_M017,ang,1.5,4.0,4.5
283,Ses01F_script01_3_F000,neu,4.0,1.6667,2.3333
284,Ses01F_script01_3_F001,neu,4.3333,2.0,2.3333
285,Ses01F_script01_3_F002,neu,3.3333,2.0,2.3333
286,Ses01F_script01_3_F003,neu,3.0,1.3333,2.3333
287,Ses01F_script01_3_F004,neu,3.3333,2.6667,2.6667
288,Ses01F_script01_3_F005,neu,3.3333,2.0,1.6667
289,Ses01F_script01_3_F006,neu,3.0,2.3333,2.3333
290,Ses01F_script01_3_F007,neu,2.6667,1.3333,2.3333
291,Ses01F_script01_3_F008,neu,3.6667,2.6667,3.0
292,Ses01F_script01_3_F009,neu,4.0,3.0,2.0
293,Ses01F_script01_3_F010,hap,4.6667,3.6667,2.3333
294,Ses01F_script01_3_F011,hap,4.6667,4.0,2.6667
295,Ses01F_script01_3_F012,hap,5.0,4.3333,2.3333
296,Ses01F_script01_3_F013,hap,4.3333,3.3333,2.3333
297,Ses01F_script01_3_F014,neu,3.0,2.6667,3.0
298,Ses01F_script01_3_F015,neu,3.0,2.0,2.3333
299,Ses01F_script01_3_F016,neu,2.6667,1.6667,1.6667
300,Ses01F_script01_3_F017,hap,4.3333,3.0,2.6667
301,Ses01F_script01_3_F019,hap,4.3333,4.0,3.3333
302,Ses01F_script01_3_F020,hap,4.3333,3.6667,3.6667
303,Ses01F_script01_3_F021,hap,4.0,2.3333,3.0
304,Ses01F_script01_3_F022,neu,3.3333,1.6667,3.0
305,Ses01F_script01_3_F028,neu,2.6667,2.3333,1.6667
306,Ses01F_script01_3_F029,neu,2.3333,2.0,2.0
307,Ses01F_script01_3_F030,sad,1.6667,2.3333,1.3333
308,Ses01F_script01_3_F031,neu,2.0,1.0,1.3333
309,Ses01F_script01_3_F035,hap,4.0,2.0,2.3333
310,Ses01F_script01_3_M000,neu,4.0,1.6667,2.0
311,Ses01F_script01_3_M001,neu,3.0,2.0,2.3333
312,Ses01F_script01_3_M003,neu,4.0,2.6667,1.6667
313,Ses01F_script01_3_M004,neu,3.0,3.0,2.6667
314,Ses01F_script01_3_M005,neu,4.0,2.6667,2.3333
315,Ses01F_script01_3_M008,hap,4.6667,3.6667,2.6667
316,Ses01F_script01_3_M009,hap,4.6667,4.0,2.3333
317,Ses01F_script01_3_M010,hap,4.3333,4.0,2.6667
318,Ses01F_script01_3_M015,hap,4.0,4.0,3.3333
319,Ses01F_script01_3_M016,hap,4.0,3.3333,2.3333
320,Ses01F_script01_3_M017,hap,4.0,3.0,3.3333
321,Ses01F_script01_3_M019,hap,4.3333,3.3333,3.6667
322,Ses01F_script01_3_M020,hap,4.0,3.6667,2.3333
323,Ses01F_script01_3_M021,sad,2.6667,2.6667,2.6667
324,Ses01F_script01_3_M022,sad,3.0,2.0,2.0
325,Ses01F_script01_3_M023,sad,2.3333,3.0,2.3333
326,Ses01F_script01_3_M024,sad,2.3333,3.0,2.3333
327,Ses01F_script01_3_M025,sad,2.6667,3.0,2.3333
328,Ses01F_script01_3_M026,sad,2.0,1.6667,2.3333
329,Ses01F_script01_3_M027,sad,2.3333,1.6667,2.6667
330,Ses01F_script01_3_M028,sad,1.6667,3.3333,3.6667
331,Ses01F_script01_3_M029,sad,2.3333,2.3333,2.6667
332,Ses01F_script01_3_M030,sad,2.0,2.3333,3.6667
333,Ses01F_script01_3_M032,sad,2.0,3.0,3.3333
334,Ses01F_script01_3_M033,sad,1.6667,3.3333,3.3333
335,Ses01F_script01_3_M036,sad,2.0,2.6667,2.3333
336,Ses01F_script01_3_M037,neu,2.3333,2.3333,2.3333
337,Ses01F_script02_1_F000,neu,2.5,2.0,2.0
338,Ses01F_script02_1_F004,neu,2.0,3.0,3.0
339,Ses01F_script02_1_F006,ang,2.0,3.5,3.0
340,Ses01F_script02_1_F007,ang,2.0,3.5,2.5
341,Ses01F_script02_1_F008,neu,2.5,1.5,3.0
342,Ses01F_script02_1_F009,hap,4.0,2.5,2.0
343,Ses01F_script02_1_F010,sad,2.0,2.0,2.5
344,Ses01F_script02_1_F015,neu,2.5,1.5,2.5
345,Ses01F_script02_1_F024,neu,2.5,1.5,2.5
346,Ses01F_script02_1_F025,neu,2.5,1.5,2.0
347,Ses01F_script02_1_M002,exc,3.5,4.5,2.5
348,Ses01F_script02_1_M007,neu,3.0,2.5,2.5
349,Ses01F_script02_1_M008,neu,3.0,2.0,2.0
350,Ses01F_script02_1_M009,neu,2.5,2.0,2.0
351,Ses01F_script02_1_M010,neu,3.0,3.5,1.5
352,Ses01F_script02_1_M011,neu,2.5,2.0,2.0
353,Ses01F_script02_1_M013,neu,3.0,3.0,2.0
354,Ses01F_script02_1_M014,neu,3.5,3.0,2.0
355,Ses01F_script02_1_M015,neu,3.5,3.0,2.5
356,Ses01F_script02_1_M016,exc,4.0,4.0,2.5
357,Ses01F_script02_1_M020,neu,4.0,3.0,2.5
358,Ses01F_script02_1_M021,neu,3.0,2.0,2.5
359,Ses01F_script02_1_M023,neu,2.5,2.0,1.5
360,Ses01F_script02_1_M024,neu,3.0,3.0,2.5
361,Ses01F_script02_1_M025,neu,3.0,3.0,2.5
362,Ses01F_script02_1_M026,neu,3.5,3.0,3.0
363,Ses01F_script02_1_M029,neu,3.5,3.0,2.5
364,Ses01F_script02_1_M031,neu,3.5,3.0,2.0
365,Ses01F_script02_1_M032,neu,3.0,2.5,2.0
366,Ses01F_script02_1_M033,neu,3.5,2.5,3.0
367,Ses01F_script02_1_M034,neu,3.0,2.5,3.0
368,Ses01F_script02_1_M035,exc,3.0,4.0,2.5
369,Ses01F_script02_1_M036,hap,3.5,3.5,2.5
370,Ses01F_script02_1_M038,exc,3.5,3.5,2.5
371,Ses01F_script02_1_M040,exc,3.0,3.5,2.5
372,Ses01F_script02_1_M043,hap,4.0,3.0,2.0
373,Ses01F_script02_1_M044,hap,4.0,2.0,1.5
374,Ses01F_script02_2_F000,neu,3.0,1.5,2.5
375,Ses01F_script02_2_F001,neu,2.5,2.0,3.0
376,Ses01F_script02_2_F006,ang,1.5,4.5,4.0
377,Ses01F_script02_2_F008,ang,1.5,3.0,3.5
378,Ses01F_script02_2_F009,ang,2.0,4.0,4.0
379,Ses01F_script02_2_F010,ang,2.0,3.5,3.5
380,Ses01F_script02_2_F015,sad,1.5,2.5,2.5
381,Ses01F_script02_2_F016,ang,1.5,4.5,4.0
382,Ses01F_script02_2_F017,neu,2.5,2.0,2.0
383,Ses01F_script02_2_F019,hap,3.0,2.5,2.5
384,Ses01F_script02_2_F022,sad,2.0,1.5,2.5
385,Ses01F_script02_2_F023,neu,2.0,1.5,2.5
386,Ses01F_script02_2_F026,neu,4.0,1.5,3.0
387,Ses01F_script02_2_F034,sad,2.5,2.0,2.0
388,Ses01F_script02_2_F035,sad,2.0,2.5,2.0
389,Ses01F_script02_2_F036,sad,2.5,2.5,1.5
390,Ses01F_script02_2_F040,sad,2.0,1.5,2.0
391,Ses01F_script02_2_F041,neu,3.0,1.5,2.5
392,Ses01F_script02_2_F042,hap,4.0,2.0,2.0
393,Ses01F_script02_2_F043,hap,4.0,3.0,2.5
394,Ses01F_script02_2_F044,hap,4.0,2.5,2.0
395,Ses01F_script02_2_F045,hap,3.5,1.5,1.5
396,Ses01F_script02_2_F046,sad,3.0,1.5,2.0
397,Ses01F_script02_2_F047,neu,3.5,2.5,2.0
398,Ses01F_script02_2_M000,exc,4.5,3.5,2.5
399,Ses01F_script02_2_M001,exc,4.5,2.5,2.0
400,Ses01F_script02_2_M002,neu,3.5,2.5,2.0
401,Ses01F_script02_2_M006,neu,3.0,2.0,1.5
402,Ses01F_script02_2_M016,neu,2.5,2.5,2.5
403,Ses01F_script02_2_M017,neu,2.5,2.5,2.5
404,Ses01F_script02_2_M019,neu,3.0,3.0,2.5
405,Ses01F_script02_2_M021,neu,3.0,2.5,1.5
406,Ses01F_script02_2_M022,neu,3.5,2.5,1.5
407,Ses01F_script02_2_M023,neu,3.5,2.5,2.0
408,Ses01F_script02_2_M024,hap,4.0,2.5,2.0
409,Ses01F_script02_2_M026,hap,3.5,2.5,1.5
410,Ses01F_script02_2_M033,neu,2.5,1.5,2.5
411,Ses01F_script02_2_M037,sad,2.0,2.0,1.0
412,Ses01F_script02_2_M038,sad,2.0,2.5,2.5
413,Ses01F_script02_2_M040,neu,3.0,2.5,2.5
414,Ses01F_script02_2_M042,neu,4.0,2.5,2.5
415,Ses01F_script02_2_M043,neu,4.0,2.0,2.5
416,Ses01F_script02_2_M044,hap,4.0,2.5,2.5
417,Ses01F_script02_2_M046,hap,4.0,2.5,1.5
418,Ses01F_script02_2_M047,neu,3.0,2.5,2.0
419,Ses01F_script02_2_M048,neu,3.5,3.0,2.5
420,Ses01F_script02_2_M049,hap,3.5,2.5,2.5
421,Ses01F_script03_1_F005,hap,4.0,4.0,2.5
422,Ses01F_script03_1_F006,exc,4.0,3.0,2.5
423,Ses01F_script03_1_F007,exc,4.0,3.0,2.5
424,Ses01F_script03_1_F010,hap,3.5,3.5,2.5
425,Ses01F_script03_1_F011,hap,4.0,3.5,2.5
426,Ses01F_script03_1_F012,exc,3.5,2.0,2.0
427,Ses01F_script03_1_F020,hap,4.0,4.0,2.5
428,Ses01F_script03_1_F021,hap,4.0,3.0,3.0
429,Ses01F_script03_1_F022,hap,4.0,3.5,3.0
430,Ses01F_script03_1_F024,exc,5.0,4.5,2.5
431,Ses01F_script03_1_F029,hap,4.0,4.0,2.5
432,Ses01F_script03_1_F030,hap,4.0,3.0,2.5
433,Ses01F_script03_1_M005,exc,4.0,3.0,2.0
434,Ses01F_script03_1_M007,hap,4.5,3.5,2.5
435,Ses01F_script03_1_M008,hap,4.0,3.0,2.0
436,Ses01F_script03_1_M009,hap,4.0,2.5,2.5
437,Ses01F_script03_1_M010,hap,4.0,3.5,2.5
438,Ses01F_script03_1_M013,hap,4.0,3.5,2.5
439,Ses01F_script03_1_M018,hap,4.0,3.0,2.0
440,Ses01F_script03_1_M021,exc,4.0,3.0,2.5
441,Ses01F_script03_1_M024,exc,4.5,3.5,3.0
442,Ses01F_script03_1_M025,hap,4.0,3.0,2.5
443,Ses01F_script03_1_M026,hap,4.0,3.5,2.5
444,Ses01F_script03_1_M034,hap,4.0,3.5,2.5
445,Ses01F_script03_1_M036,hap,4.0,4.5,2.5
446,Ses01F_script03_1_M037,hap,4.0,2.5,2.0
447,Ses01F_script03_2_F000,hap,4.0,3.0,4.0
448,Ses01F_script03_2_F001,hap,3.5,3.5,4.0
449,Ses01F_script03_2_F002,hap,4.0,3.5,4.0
